General Ledger
Business Name: AB Civil Consulting LLC
Tax Filing Name: AB CIVIL CONSULTING LLC
Accounting Basis: Modified Cash
Date Range: 1/1/2025 to 1/31/2026
Report Date: 1/19/2026

Account: Legends Bank Checking 7131,Your balance in Patriot: $16220.81
Date,Type,Description,Amount,Balance
5/18/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1236),$1000.00,$37822.31
5/18/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1206),$1275.00,$39097.31
5/18/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1243),$2738.00,$41835.31
5/18/2025,Journal Entry,Balance of $24323 Wire Deposit,$1500.00,$43335.31
5/19/2025,Imported Transaction,Legends Bank - Personal AMEX EPAYMENT ACH PMT,-$2998.56,$40336.75
5/20/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$40131.37
5/20/2025,Imported Transaction,Legends Bank - Personal STRIPE TRANSFER,$1140.90,$41272.27
5/20/2025,Customer Invoice Payment,Payment #1385 for J. Green Excavating LLC (Invoice #1213),$750.00,$42022.27
5/20/2025,Customer Invoice Payment,Payment #007275 for Mitch Brown Construction Inc (Invoice #1175),$2040.00,$44062.27
5/20/2025,Customer Invoice Payment,Payment #6171 for SITECH Chesapeake LLC (Invoice #1070),$790.00,$44852.27
5/20/2025,Customer Invoice Payment,Payment #2424 for Knust Excavating (Invoice #1224),$875.00,$45727.27
5/20/2025,Customer Invoice Payment,Payment #2589 for Grovin Construction (Invoice #1217),$2670.00,$48397.27
5/20/2025,Customer Invoice Payment,Payment #20668 for Litman Excavating (Invoice #1171),$875.00,$49272.27
5/20/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 7913798,-$5000.00,$44272.27
5/20/2025,Imported Transaction,Legends Bank - Personal PAYPAL TRANSFER,$960.00,$45232.27
5/20/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.71,$44314.56
5/22/2025,Contractor Payment,Payment for Ufredo Barahona,-$4305.00,$40009.56
5/23/2025,Customer Invoice Payment,Payment for Central Florida Site Pros Inc (Invoice #1080),$460.00,$40469.56
5/23/2025,Journal Entry,Stripe Fees Transfer,-$3.68,$40465.88
5/23/2025,Imported Transaction,Legends Bank - Personal FILERUN LDA IAT PAYPAL WEB000000000000046402 AB CIVIL CONSULTING LLC,-$464.02,$40001.86
5/23/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000113900 AB CIVIL CONSULTING LLC,-$1139.00,$38862.86
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$209.54,$38653.32
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$114.38,$38538.94
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.94,$38366.00
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.94,$38193.06
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$102.94,$38090.12
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$183.00,$37907.12
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$328.49,$37578.63
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$227.84,$37350.79
5/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$181.17,$37169.62
5/27/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$3403.66,$33765.96
5/27/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 4288649,-$2000.00,$31765.96
5/28/2025,Customer Invoice Payment,Payment for Earthwork Tech (Invoice #1245),$1950.00,$33715.96
5/28/2025,Customer Invoice Payment,Payment #1893 for Civil West General Engineering Inc (Invoice #1153),$2710.00,$36425.96
5/28/2025,Customer Invoice Payment,Payment #2597 for Grovin Construction (Invoice #1146),$250.00,$36675.96
5/28/2025,Journal Entry,JWB Deposit in 7131. Should be 7544,$1500.00,$38175.96
5/28/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX073 6783361,-$1400.00,$36775.96
5/29/2025,Customer Invoice Payment,Payment for Firethorn Inc (Invoice #1200),$2770.00,$39545.96
5/29/2025,Customer Invoice Payment,Payment for Diehl Development Inc. (Invoice #1218),$1200.00,$40745.96
5/29/2025,Customer Invoice Payment,Payment for Firethorn Inc (Invoice #1201),$1000.00,$41745.96
5/29/2025,Customer Invoice Payment,Payment for Firethorn Inc (Invoice #1193),$1000.00,$42745.96
5/29/2025,Customer Invoice Payment,Payment for Firethorn Inc (Invoice #1195),$7380.00,$50125.96
5/29/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1230),$4190.00,$54315.96
5/29/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1231),$750.00,$55065.96
5/29/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1252),$2350.00,$57415.96
5/29/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1191),$3385.00,$60800.96
5/29/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1192),$1487.00,$62287.96
5/29/2025,Journal Entry,Stripe Fees Transfer,-$25.00,$62262.96
5/29/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$37.77,$62225.19
5/30/2025,Customer Invoice Payment,Payment for Bond Excavating (Invoice #1223),$875.00,$63100.19
5/30/2025,Customer Invoice Payment,Payment for Earthtech Developers (Invoice #1247),$4350.00,$67450.19
5/30/2025,Customer Invoice Payment,Payment for Earthtech Developers (Invoice #1167),$980.00,$68430.19
5/30/2025,Journal Entry,Stripe Fees Transfer,-$66.85,$68363.34
5/30/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 7544 1196562,-$1500.00,$66863.34
5/30/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX142 8630755,-$300.00,$66563.34
5/30/2025,Journal Entry,Reversal of Payment for Earthtech Developers,-$980.00,$65583.34
5/30/2025,Payroll,Direct Deposit Net Pay,-$11752.93,$53830.41
6/2/2025,Imported Transaction,APPLECARD GSBANK PAYMENT,-$52.82,$53777.59
6/2/2025,Imported Transaction,CIGNA 877-484-59 8774845967,-$1081.83,$52695.76
6/2/2025,Journal Entry,June Engineering overpaid on Invoice 1211 : Payment on Invoice 1211 with Check 2061,$2000.00,$54695.76
6/2/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$1833.77,$52861.99
6/3/2025,Customer Invoice Payment,Payment for Earthtech Developers (Invoice #1167),$980.00,$53841.99
6/3/2025,Journal Entry,Stripes Fees ,-$41.86,$53800.13
6/3/2025,Imported Transaction,KANSAS PAYMENT SUPPORT,-$205.38,$53594.75
6/3/2025,Imported Transaction,THOMPSON MACHINE BT0602,-$8675.42,$44919.33
6/3/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$917.90,$44001.43
6/4/2025,Customer Invoice Payment,Payment #290 for Castle Construction LLC (Invoice #1034),$450.00,$44451.43
6/4/2025,Customer Invoice Payment,Payment #16279 for Columbia Excavating LLC (Invoice #1204),$650.00,$45101.43
6/4/2025,Customer Invoice Payment,Payment #1987 for Murdocks Excavation (Invoice #1176),$1640.00,$46741.43
6/4/2025,Imported Transaction,STRIPE TRANSFER,-$10.95,$46730.48
6/4/2025,Imported Transaction,INTUIT 70905103 TRAN FEE,-$12.00,$46718.48
6/4/2025,Journal Entry,Intuit  56205593 Deposit,$1250.00,$47968.48
6/4/2025,Imported Transaction,BEI JING HAI WEN HU ZHI WANG LUO JI IAT PAYPAL,-$100.00,$47868.48
6/4/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$917.70,$46950.78
6/5/2025,Journal Entry,Apple Canada Inc. ACH/Credit: Missing transaction from June 2025 Banking Statement,$92.41,$47043.19
6/5/2025,Imported Transaction,THE HARTFORD INSPMTCL,-$571.30,$46471.89
6/6/2025,Customer Invoice Payment,Payment for Earthtech Developers (Invoice #1263),$1640.00,$48111.89
6/6/2025,Imported Transaction,STEFFANIE QUIBETE IAT PAYPAL,-$922.75,$47189.14
6/9/2025,Imported Transaction,IRS USATAXPYMT,-$3539.88,$43649.26
6/9/2025,Imported Transaction,TN STATE REVENUE TN TAP,-$7800.00,$35849.26
6/9/2025,Imported Transaction,AMEX EPAYMENT ACH PMT,-$9951.22,$25898.04
6/10/2025,Customer Invoice Payment,Payment for Central Florida Site Pros Inc (Invoice #1156),$1320.00,$27218.04
6/10/2025,Customer Invoice Payment,Payment for Central Florida Site Pros Inc (Invoice #1133),$1640.00,$28858.04
6/10/2025,Customer Invoice Payment,Payment #13854 for Terry Roberts Site Work (Invoice #1208),$1900.00,$30758.04
6/10/2025,Customer Invoice Payment,Payment #4425 for Complete Development (Invoice #1222),$3730.00,$34488.04
6/10/2025,Journal Entry,Stripe Fees,-$57.86,$34430.18
6/10/2025,Journal Entry,Stripe Fees,-$10.00,$34420.18
6/10/2025,Imported Transaction,VERIZON WIRELESS PAYMENTS,-$398.15,$34022.03
6/10/2025,Imported Transaction,NEWLANE AUTH PAYME,-$611.73,$33410.30
6/10/2025,Journal Entry,Deposit of Payment that was for 7544,$250.00,$33660.30
6/11/2025,Customer Invoice Payment,Payment for Bear Excavating (Invoice #1246),$2160.00,$35820.30
6/11/2025,Customer Invoice Payment,Payment for Bear Excavating (Invoice #1260),$1100.00,$36920.30
6/11/2025,Customer Invoice Payment,Payment #6295 for Montroy Development (Invoice #1135),$450.00,$37370.30
6/11/2025,Customer Invoice Payment,Payment #6295 for Montroy Development (Invoice #1199),$3220.00,$40590.30
6/11/2025,Customer Invoice Payment,Payment #1210886 for Pike Construction (Invoice #1203),$1200.00,$41790.30
6/11/2025,Customer Invoice Payment,Payment #13826 for Terry Roberts Site Work (Invoice #1209),$1570.00,$43360.30
6/11/2025,Journal Entry,Stripe Fees,-$55.40,$43304.90
6/13/2025,Contractor Payment,Payment for Ufredo Barahona,-$700.00,$42604.90
6/13/2025,Customer Invoice Payment,Payment for Earthtech Developers (Invoice #1275),$1900.00,$44504.90
6/13/2025,Imported Transaction,INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX803 4794757,-$2500.00,$42004.90
6/13/2025,Payroll,Direct Deposit Net Pay,-$10620.85,$31384.05
6/16/2025,Payroll,Direct Deposit Net Pay,-$1350.17,$30033.88
6/16/2025,Imported Transaction,BEST BUY AUTO PYMT,-$220.00,$29813.88
6/16/2025,Imported Transaction,SBA EIDL LOAN PAYMENT,-$356.00,$29457.88
6/16/2025,Imported Transaction,Legends Bank Personal CarMax,-$1050.82,$28407.06
6/17/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1228),$3750.00,$32157.06
6/17/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1229),$2750.00,$34907.06
6/17/2025,Imported Transaction,KANSAS PAYMENT SUPPORT,-$205.38,$34701.68
6/18/2025,Customer Invoice Payment,Payment #1677 for Residential Excavating LLC (Invoice #1202),$2250.00,$36951.68
6/18/2025,Customer Invoice Payment,Payment #4500168893 for APAC-Alabama Inc. (Invoice #1210),$250.00,$37201.68
6/19/2025,Customer Invoice Payment,Payment #1642 for Gude LLC (Invoice #1256),$1125.00,$38326.68
6/19/2025,Customer Invoice Payment,Payment #21685 for Landmark Service of SW Florida LLC (Invoice #1239),$1880.00,$40206.68
6/19/2025,Void Customer Invoice Payment,Payment #2061 for June Engineering Consultants (Invoice #1211),-$2000.00,$38206.68
6/19/2025,Journal Entry,Correcting June Engineering Voided transaction ,$2000.00,$40206.68
6/20/2025,Imported Transaction,STEFFANIE QUIBETE IAT PAYPAL,-$1644.63,$38562.05
6/20/2025,Imported Transaction,MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 5577583,-$5000.00,$33562.05
6/23/2025,Contractor Payment,Payment for Ufredo Barahona,-$5560.00,$28002.05
6/23/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1294),$1230.00,$29232.05
6/23/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1295),$3270.00,$32502.05
6/23/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1296),$385.00,$32887.05
6/23/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1297),$2455.00,$35342.05
6/23/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1298),$1350.00,$36692.05
6/23/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1299),$550.00,$37242.05
6/23/2025,Journal Entry,Wire Transfer money,$4638.00,$41880.05
6/23/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$917.71,$40962.34
6/24/2025,Void Customer Invoice Payment,Payment for Earthtech Developers (Invoice #1167),-$980.00,$39982.34
6/24/2025,Customer Invoice Payment,Payment #6518 for Williams Fence of C.N.Y. Inc. (Invoice #1078),$1250.00,$41232.34
6/24/2025,Customer Invoice Payment,Payment #1150 for Bond Excavating (Invoice #1227),$820.00,$42052.34
6/24/2025,Customer Invoice Payment,Payment for Pike Construction (Invoice #1249),$2780.00,$44832.34
6/24/2025,Customer Invoice Payment,Payment for Pike Construction (Invoice #1259),$750.00,$45582.34
6/24/2025,Journal Entry,Overpayment on Invoice 1223: Bond paid this invoice twice - Once through Stripe than by check Number 1178,$875.00,$46457.34
6/24/2025,Journal Entry,Voided Original Transaction,$980.00,$47437.34
6/24/2025,Imported Transaction,IRS USATAXPYMT,-$3004.04,$44433.30
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$209.54,$44223.76
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$114.38,$44109.38
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$172.94,$43936.44
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$172.94,$43763.50
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$102.94,$43660.56
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$183.00,$43477.56
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$328.49,$43149.07
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$227.84,$42921.23
6/24/2025,Imported Transaction,INTUIT FINANCING QBC_PMTS,-$181.17,$42740.06
6/25/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1257),$450.00,$43190.06
6/25/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1258),$350.00,$43540.06
6/27/2025,Contractor Payment,Payment for Ufredo Barahona,-$1700.00,$41840.06
6/27/2025,Customer Invoice Payment,Payment for Land Development DGPS Construction (Invoice #1154),$6820.00,$48660.06
6/27/2025,Journal Entry,Voided Original Transaction,-$6820.00,$41840.06
6/27/2025,Imported Transaction,INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX073 6783361,-$1400.00,$40440.06
6/27/2025,Payroll,Direct Deposit Net Pay,-$13352.14,$27087.92
6/30/2025,Customer Invoice Payment,Payment for Shawn Malone Excavating (Invoice #1233),$2100.00,$29187.92
6/30/2025,Customer Invoice Payment,Payment for AJ Oleson Construction (Invoice #1261),$2040.00,$31227.92
6/30/2025,Customer Invoice Payment,Payment for AJ Oleson Construction (Invoice #1264),$2400.00,$33627.92
6/30/2025,Customer Invoice Payment,Payment #45824 for K.P. Martin (Invoice #1172),$1200.00,$34827.92
6/30/2025,Customer Invoice Payment,Payment #5567 for Firethorn Inc (Invoice #1235),$350.00,$35177.92
6/30/2025,Imported Transaction,Legends Bank - Personal CIGNA 877-484-59 8774845967,-$1081.83,$34096.09
6/30/2025,Customer Invoice Payment,Payment #4500169117 for APAC-Alabama Inc. (Invoice #1219),$250.00,$34346.09
6/30/2025,Journal Entry,Stripe Fees,-$5.00,$34341.09
6/30/2025,Journal Entry,Voided Original Transaction,-$2400.00,$31941.09
6/30/2025,Journal Entry,Voided Original Transaction,-$2040.00,$29901.09
6/30/2025,Imported Transaction,INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX142 8630755,-$300.00,$29601.09
6/30/2025,Imported Transaction,PAYPAL INST XFER,-$37.77,$29563.32
6/30/2025,Journal Entry,Mobile Transfer 7131 to 7544 2799673,-$1000.00,$28563.32
7/1/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$28357.94
7/1/2025,Customer Invoice Payment,Payment #Stripe for Land Development DGPS Construction (Invoice #1154),$6820.00,$35177.94
7/1/2025,Journal Entry,Stripe Fees,-$198.08,$34979.86
7/1/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000125300 AB CIVIL CONSULTING LLC,-$1253.00,$33726.86
7/1/2025,Imported Transaction,Legends Bank - Personal APPLECARD GSBANK PAYMENT,-$68.66,$33658.20
7/1/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$1833.77,$31824.43
7/2/2025,Customer Invoice Payment,Payment #838686 for Brightview Landscape Development (Invoice #1126),$1200.00,$33024.43
7/2/2025,Customer Invoice Payment,Payment #737737 for Wenzel Contractors Inc. (Wenzel Contracting) (Invoice #1244),$3380.00,$36404.43
7/2/2025,Customer Invoice Payment,Payment #737737 for Wenzel Contractors Inc. (Wenzel Contracting) (Invoice #1266),$450.00,$36854.43
7/2/2025,Customer Invoice Payment,Payment #737737 for Wenzel Contractors Inc. (Wenzel Contracting) (Invoice #1267),$840.00,$37694.43
7/2/2025,Customer Invoice Payment,Payment for AJ Oleson Construction (Invoice #1261),$2040.00,$39734.43
7/2/2025,Customer Invoice Payment,Payment for AJ Oleson Construction (Invoice #1264),$2400.00,$42134.43
7/2/2025,Journal Entry,Stripe Fees,-$129.36,$42005.07
7/2/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.90,$41087.17
7/3/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$8.50,$41078.67
7/3/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$3922.49,$37156.18
7/3/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$96.35,$37059.83
7/3/2025,Imported Transaction,Legends Bank - Personal APPLE CANADA INC. ACH/CRED MIS000000000000009332 AB Civil Consulting LLC,$93.32,$37153.15
7/7/2025,Customer Invoice Payment,Payment for Premier Property Services (Invoice #1300),$1500.00,$38653.15
7/7/2025,Customer Invoice Payment,Payment for AJ Oleson Construction (Invoice #1304),$2060.00,$40713.15
7/7/2025,Imported Transaction,Legends Bank - Personal THE HARTFORD INSPMTCL,-$509.80,$40203.35
7/7/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$211.00,$39992.35
7/7/2025,Journal Entry,Stripe Fees,-$17.59,$39974.76
7/7/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.70,$39057.06
7/9/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1283),$4040.00,$43097.06
7/9/2025,Customer Invoice Payment,Payment #12358 for Abscope Enviornmental (Invoice #1273),$1880.00,$44977.06
7/9/2025,Customer Invoice Payment,Payment #12358 for Abscope Enviornmental (Invoice #1281),$1490.00,$46467.06
7/9/2025,Customer Invoice Payment,Payment #1073 for June Engineering Consultants (Invoice #1284),$500.00,$46967.06
7/9/2025,Customer Invoice Payment,Payment #1211515 for Pike Construction (Invoice #1248),$250.00,$47217.06
7/9/2025,Customer Invoice Payment,Payment #13883 for Terry Roberts Site Work (Invoice #1165),$2060.00,$49277.06
7/9/2025,Customer Invoice Payment,Payment #13883 for Terry Roberts Site Work (Invoice #1207),$1820.00,$51097.06
7/9/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 8111182,-$2000.00,$49097.06
7/9/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$884.75,$48212.31
7/9/2025,Journal Entry,Stripe Fees,-$60.04,$48152.27
7/9/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 7073 7510180,-$2500.00,$45652.27
7/10/2025,Customer Invoice Payment,Payment for Coscia Land Management (Invoice #1311),$250.00,$45902.27
7/10/2025,Imported Transaction,Legends Bank - Personal Verizon Wireless,-$398.15,$45504.12
7/10/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$17.79,$45486.33
7/10/2025,Imported Transaction,Legends Bank - Personal NEWLANE AUTH PAYME,-$611.73,$44874.60
7/10/2025,Payroll,Harrison uncleared check,-$515.31,$44359.29
7/10/2025,Payroll,Direct Deposit Net Pay,-$12328.00,$32031.29
7/11/2025,Contractor Payment,Payment for Ufredo Barahona,-$650.00,$31381.29
7/11/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX803 4794757,-$2500.00,$28881.29
7/11/2025,Void Payroll, Non-Direct Deposit Net Pay: Starkweather Harrison,$515.31,$29396.60
7/14/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000112025 AB CIVIL CONSULTING LLC,-$1120.25,$28276.35
7/14/2025,Imported Transaction,Legends Bank - Personal Best Buy,-$220.00,$28056.35
7/14/2025,Journal Entry,Stripe Fees,-$7.55,$28048.80
7/15/2025,Imported Transaction,Legends Bank - Personal SBA EIDL LOAN PAYMENT 3015519102,-$356.00,$27692.80
7/15/2025,Imported Transaction,Legends Bank - Personal CarMax,-$1050.82,$26641.98
7/16/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$26436.60
7/17/2025,Customer Invoice Payment,Payment #2527 for Knust Excavating (Invoice #1253),$900.00,$27336.60
7/17/2025,Customer Invoice Payment,Payment #2690 for Engineering & Environmental Construction Inc (Invoice #1242),$3420.00,$30756.60
7/17/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1309),$2780.00,$33536.60
7/18/2025,Customer Invoice Payment,Payment for Earthtech Developers (Invoice #1323),$1910.00,$35446.60
7/18/2025,Customer Invoice Payment,Payment #34814 for JWB Contractors (Invoice #1274),$4320.00,$39766.60
7/18/2025,Customer Invoice Payment,Payment #6235 for SITECH Chesapeake LLC (Invoice #1290),$2250.00,$42016.60
7/18/2025,Customer Invoice Payment,Payment #2543 for Knust Excavating (Invoice #1306),$2470.00,$44486.60
7/18/2025,Imported Transaction,Legends Bank - Personal AMEX EPAYMENT ACH PMT,-$6071.13,$38415.47
7/21/2025,Customer Invoice Payment,Payment for Korb Construction Services LLC (Invoice #1330),$1200.00,$39615.47
7/21/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 7963087,-$5000.00,$34615.47
7/22/2025,Journal Entry,Stripe Fees,-$55.69,$34559.78
7/22/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.71,$33642.07
7/23/2025,Customer Invoice Payment,Payment #4857 for Central Florida Site Pros Inc (Invoice #1250),$1700.00,$35342.07
7/23/2025,Customer Invoice Payment,Payment #68947 for Edger Enterprises (Invoice #1255),$1990.00,$37332.07
7/23/2025,Customer Invoice Payment,Payment #21112 for Litman Excavating (Invoice #1251),$1000.00,$38332.07
7/23/2025,Imported Transaction,Legends Bank - Personal KYGOV KYEMPLOYMT,-$14.03,$38318.04
7/23/2025,Imported Transaction,Legends Bank - Personal STATE OF TN BALANCEDUE,-$114.03,$38204.01
7/23/2025,Journal Entry,Stripe Fees,-$35.10,$38168.91
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$209.54,$37959.37
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$114.38,$37844.99
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.94,$37672.05
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.94,$37499.11
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$102.94,$37396.17
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$183.00,$37213.17
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$328.49,$36884.68
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$227.84,$36656.84
7/23/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$181.17,$36475.67
7/24/2025,Customer Invoice Payment,Payment for Land Development DGPS Construction (Invoice #1148),$3620.00,$40095.67
7/24/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1312),$650.00,$40745.67
7/24/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1313),$250.00,$40995.67
7/24/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1314),$1250.00,$42245.67
7/24/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 2803 7120404,-$3000.00,$39245.67
7/24/2025,Imported Transaction,Legends Bank - Personal VA DEPT TAXATION TAX PAYMEN,-$10.19,$39235.48
7/24/2025,Imported Transaction,Legends Bank - Personal VA DEPT TAXATION TAX PAYMEN,-$10.09,$39225.39
7/24/2025,Imported Transaction,Legends Bank - Personal VA DEPT TAXATION TAX PAYMEN,-$10.19,$39215.20
7/24/2025,Journal Entry,Mobile Deposit,$875.00,$40090.20
7/25/2025,Payroll,Direct Deposit Net Pay,-$11798.40,$28291.80
7/28/2025,Customer Invoice Payment,Payment for Central Florida Site Pros Inc (Invoice #1286),$1960.00,$30251.80
7/28/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX073 6783361,-$1400.00,$28851.80
7/28/2025,Journal Entry,Stripe Fees,-$110.28,$28741.52
7/29/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$37.77,$28703.75
7/30/2025,Contractor Payment,Payment for Ufredo Barahona,-$1500.00,$27203.75
7/30/2025,Customer Invoice Payment,Payment for Bear Excavating (Invoice #1315),$250.00,$27453.75
7/30/2025,Journal Entry,Stripe Fees,-$2.00,$27451.75
7/31/2025,Imported Transaction,Legends Bank - Personal STATE OF MONTANA MT TAX PMT,-$85.00,$27366.75
7/31/2025,Imported Transaction,Legends Bank - Personal CIGNA 877-484-59 8774845967,-$1081.83,$26284.92
7/31/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX142 8630755,-$300.00,$25984.92
7/31/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1010),$550.00,$26534.92
7/31/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1363),$2108.00,$28642.92
7/31/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1364),$320.00,$28962.92
7/31/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1365),$1450.00,$30412.92
